92	55	51	
52	99	74	
11	43	84	
99	86	81	
72	93	29	
59	25	36	
6	86	70	
95	56	85	
71	21	76	
79	87	39	
100	25	82	
47	2	14	
89	32	98	
23	45	42	
98	54	100	
93	24	90	
68	2	55	
66	70	30	
2	32	83	
76	73	28	
17	94	54	
85	12	4	
29	88	60	
93	65	13	
72	10	45	
100	93	1	
47	65	97	
47	60	15	
56	38	70	
22	25	31	
84	43	78	
92	70	75	
97	34	42	
89	55	53	
30	88	58	
36	49	50	
88	25	22	
42	88	51	
18	57	36	
44	31	35	
89	1	69	
77	19	20	
89	84	14	
44	74	9	
22	9	99	
93	78	53	
92	71	75	
10	73	9	
88	93	41	
72	83	63	
41	17	44	
4	95	40	
78	54	34	
63	82	84	
28	28	68	
20	20	36	
61	23	51	
94	52	59	
37	36	25	
23	8	32	
59	67	96	
34	54	3	
96	10	16	
67	82	94	
10	37	18	
99	31	31	
11	33	18	
6	26	40	
13	41	9	
89	40	67	
25	54	5	
1	97	91	
30	65	94	
66	22	98	
87	18	13	
70	74	64	
70	97	86	
83	31	44	
88	70	15	
75	37	84	
13	87	58	
20	42	16	
87	55	1	
67	10	76	
38	32	51	
18	64	28	
93	97	1	
58	52	6	
84	92	39	
93	31	73	
50	10	71	
5	84	60	
84	97	62	
75	34	41	
4	88	6	
44	65	75	
55	32	11	
13	92	99	
6	60	74	
18	89	4	
80	20	39	
79	83	95	
11	49	81	
39	15	75	
89	55	15	
58	36	39	
34	33	89	
76	63	76	
51	95	94	
95	81	9	
83	39	53	
67	60	43	
92	31	70	
23	3	94	
69	30	92	
58	64	75	
94	79	21	
12	2	25	
23	70	22	
7	38	24	
48	27	4	
66	12	3	
93	89	35	
58	66	2	
60	59	84	
17	4	47	
39	33	11	
95	78	7	
47	27	21	
43	77	66	
58	14	23	
74	86	5	
19	43	39	
18	95	64	
15	43	14	
69	32	68	
40	9	48	
14	6	21	
1	34	60	
98	2	100	
16	52	64	
30	87	75	
31	100	60	
51	57	34	
45	77	81	
36	87	1	
90	66	66	
67	63	33	
97	33	67	
39	88	86	
98	47	15	
54	10	76	
48	95	96	
40	90	72	
79	12	12	
24	44	43	
41	26	61	
8	10	65	
59	18	55	
59	47	12	
63	19	8	
30	78	39	
35	11	97	
96	49	59	
16	97	50	
49	61	43	
87	67	62	
21	13	30	
45	6	21	
14	7	36	
37	37	22	
12	33	100	
85	48	3	
44	99	15	
17	27	20	
39	13	72	
20	73	99	
76	84	72	
51	67	26	
76	25	31	
95	87	45	
32	25	19	
9	45	4	
84	19	23	
9	32	82	
7	97	53	
72	90	80	
93	84	6	
89	2	33	
88	10	69	
51	55	98	
1	76	95	
75	98	60	
13	87	4	
62	15	35	
22	86	19	
47	51	27	
11	13	45	
22	5	8	
80	6	29	
81	50	15	
44	44	85	
61	94	85	
3	54	57	
87	91	88	
97	51	75	
62	72	38	
66	63	75	
76	87	64	
